Participant Initials,Image name,Choice,Alternative,Duration,Number of Command Repeats,Run Type,Key Pressed,Passed Repeat Key Threshold
noname,i87.jpg,serious man with hands folded in prayer,traditionally clothed man wearing glasses,1.003,0,Trial,left,False
noname,i92.jpg,man wearing black turtleneck sweater,man putting can on boy's head,1.357,0,Trial,left,False
noname,i94.jpg,three children wearing red shirts,children crouched over two buckets,1.117,0,Trial,left,False
noname,i82.jpg,woman in black dress holding glass,landscape painting with gold frame,0.322,0,Trial,right,False
noname,i44.jpg,customer in black viewing candies,signs before trays of candy,0.779,0,Trial,left,False
noname,i9.jpg,two black and blue motorcycles,wooden wall behind motorcycles,0.806,0,Trial,right,False
noname,i42.jpg,man taking photos in corner,Chinese New Year dragon dance,0.651,0,Trial,right,False
noname,i41.jpg,many white boats by dock,green hill with colorful houses,0.443,0,Trial,right,False
noname,i27.jpg,worm's eye view inside building,black pillars on left wall,0.716,0,Trial,right,False
noname,i76.jpg,seven children wearing colorful clothes,dark background behind children,0.196,0,Trial,right,False
noname,i89.jpg,tiny red fish in coral reef,person scuba diving underwater,0.594,0,Trial,right,False
noname,i87.jpg,man wearing white traditional hat,flower necklaces on man praying,0.826,0,Trial,right,False
noname,i65.jpg,two women sitting with Chinese menu,white and orange signs on wall,0.342,0,Trial,left,True
noname,i37.jpg,stone house behind blue tent,large rocks surrounding blue tent,0.497,0,Trial,left,False
noname,i27.jpg,people walking down staircase,black pillars on left wall,0.122,0,Trial,right,False
noname,i88.jpg,interior of white house,wooden chairs and dining tables,0.419,0,Trial,left,False
noname,i63.jpg,sun rays peeking through shrubs,field of grass under sun,1.06,0,Reverse Control,right,False
noname,i85.jpg,white van driving in background,white lanes on cement road,1.215,0,Trial,left,False
noname,i87.jpg,traditionally clothed man wearing glasses,flower necklaces on man praying,1.177,0,Trial,right,False
noname,i27.jpg,people walking down staircase,black pillars on left wall,0.02,0,Reverse Control,left,False
noname,i37.jpg,stone house behind blue tent,colorful mats on donkeys' backs,0.556,0,Trial,left,False
noname,i33.jpg,cereal and apple juice before boy,brown wooden cabinets behind boy,0.335,0,Trial,left,False
noname,i80.jpg,crowd surrounding bonfire,huge bonfire at center,0.555,0,Trial,left,False
noname,i88.jpg,large mirror hanging on white wall,wooden chairs and dining tables,0.941,0,Trial,right,False
