Image No.,Short1,Short2,Short3,Short4,Short5,Short6,Short7,Short8,Short9,Short10
1,white man holding puppy,man and woman smiling,gray barn in background,green grass in front,black puppy held by man,bushes before a barn,man and woman standing,man wearing red sweatshirt,woman wearing skirt,
,"people, animal, action","people, emotion","object, scene detail",scene detail,"animal, people","object, scene detail","people, action","people, action","people, action",
2,a light brown package,blue stamp with man's face,thumb near the bottom,red text,a package of cigarettes,"""FACTORY NO. 94""",,,,
,object,object,people,writing,object,writing,,,,
3,Four rockstars on stage,A rock band playing music,stage within a blue automobile,rockstars with colorful tights,"long, black-haired person playing guitar",long-haired blond singing,person in back with dreadlocks,musicians' faces covered with hair,four musicians' knee-length hair,
,people ,action,scene detail,"people, scene detail","people, action","people, action",people,,,
4,clown tying a green balloon,clown with balloons on pedestrian street,orange bucket with colorful balloons,clown with a rainbow wig,man in black clothes walking,green pole next to clown,two women in the background,green trees behind the clown,clown wearing colorful costume,clown standing alone
,"people, action","people, object","object, scene detail",people,"people, action","object, scene detail",people,scene detail,"people, action","people, action"
5,three middle-aged men playing instruments,dark jazz club,red and purple lights,three men wearing black,man in front playing piano,music notes on piano stand,man behind playing the guitar,man in back playing drums,microphone stand to the right,
,"people, action",scene detail,scene detail,"people, action","people, action","object, scene detail","people, action","people, action","object, scene detail",
6,man in black playing a trumpet,dark jazz club,"pink, purple, and blue lights",two water bottles on floor,man in the background,multiple microphones to the right,man playing trumpet with music notes,drumset behind trumpet player,,
,"people, action",scene detail,scene detail,"object, scene detail",people ,"object, scene detail","people, action",scene detail,,
7,runners running a marathon,red New Balance banner,clock hanging above red banner,runners wearing race number,yellow and green advertisements,people cheering towards the left,woman in black attire jogging,,,
,"people, action",object,"object, scene detail","people, action",scene detail,"people, action","people, action",,,
8,a woman with brown hair,blond hair in front of woman,woman wearing black sunglasses,woman wearing an orange lei,woman with blank facial expression,sunglasses reflecting the blond woman,,,,
,people,scene detail,"people, action","people, action","people, emotion","object, scene detail",,,,
9,two black and blue motorcycles,wooden wall behind motorcycles,three orange figures on motorcycle,motorcycle with speedometer,reflection of buildings on motorcycle,"three small, orange, alien figurines",,,,
,object,scene detail,"object, scene detail",object,scene detail,"object, scene detail",,,,
10,an inflatable panda,five small children playing,five children with inflatable panda,four children wearing white shirts,orange mat underneath inflatable panda,one girl wearing striped shirt,children leaning against inflatable panda,large building behind the panda,,
,object,"people, action","people, object","people, action","object, scene detail","people, action","people, action, object",scene detail,,
12,woman squatting near two children,a house behind three people,brown-haired woman wearing jeans,boy wearing yellow shirt,two small children standing,woman and two children smiling,green grass surrounding people,two children holding toys,woman holding onto children,
,"people, action","object, scene detail","people, action","people, action","people, action","people, emotion",scene detail,"people, action","people, action",
13,"blank, white room with bed",brown bed with wooden frame,large windows letting in sunlight,doorway to the right,silver pipe hanging from ceiling,large bed in empty room,,,,
,"object, scene detail","object, scene detail","object, scene detail",scene detail,"object, scene detail",object,,,,
14,brown sculpture within a wall,leafless trees above sculpture,sculpture of woman in wall,sculpture of woman's eyes closed,,,,,,
,object,scene detail,object,object,,,,,,
15,two women smiling with food,two blond and dark-haired women,two women with sunglasses sitting,water behind the restaurant,buildings and trees near port,cups and sauces on table,blond woman wearing brown shirt,two women sitting at table,,
,"people, emotion, object",people,"people, action",scene detail,scene detail,"object, scene detail","people, action","people, action",,
16,close up image of cat,"brown, black, and white cat",close up of cat's whiskers,cat with white whiskers,cat almost closing its eyes,,,,,
,animal,animal,animal,animal,"animal, action",,,,,
17,a dog standing in front,"black, brown, and white dog",dog looking towards the left,people's legs with white pants,three dogs in the back,dogs and people standing on grass,multi-colored dog with pointy ears,,,
,"animal, action",animal,"animal, action",people,"animal, scene detail","people, animal, action",animal,,,
